Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
101741,06-02-2026 19:19,04-02-2026 16:19,04-02-2026 16:19,Nashik,152,DRUG OFFENSE,54,M,Firearm,Other Crime,23,No,
101742,07-08-2026 06:35,06-08-2026 19:35,06-08-2026 19:35,Chennai,296,PUBLIC INTOXICATION,38,M,Poison,Violent Crime,5,No,
101743,12-04-2026 11:04,10-04-2026 01:04,10-04-2026 01:04,Ghaziabad,513,FRAUD,18,F,Poison,Violent Crime,5,Yes,31-05-2026 11:04
101744,30-03-2026 04:27,29-03-2026 19:27,29-03-2026 19:27,Nagpur,534,BURGLARY,32,F,Knife,Fire Accident,21,Yes,02-04-2026 04:27
101745,13-06-2026 19:54,13-06-2026 03:54,13-06-2026 03:54,Srinagar,234,FIREARM OFFENSE,69,M,None,Other Crime,1,Yes,26-08-2026 19:54
101746,28-12-2026 00:17,25-12-2026 17:17,25-12-2026 17:17,Nagpur,538,CYBERCRIME,12,M,Poison,Traffic Fatality,22,Yes,06-02-2027 00:17
101747,24-11-2026 02:27,23-11-2026 20:27,23-11-2026 20:27,Faridabad,459,VANDALISM,76,F,Other,Other Crime,21,No,
101748,13-03-2026 08:12,11-03-2026 08:12,11-03-2026 08:12,Delhi,486,ARSON,41,M,Knife,Traffic Fatality,2,No,
101749,11-12-2026 04:43,09-12-2026 21:43,09-12-2026 21:43,Nashik,365,SEXUAL ASSAULT,48,M,Other,Other Crime,3,No,
101750,29-01-2026 18:34,27-01-2026 01:34,27-01-2026 01:34,Ludhiana,354,PUBLIC INTOXICATION,49,F,None,Violent Crime,11,Yes,09-04-2026 18:34
101751,26-04-2026 07:42,24-04-2026 16:42,24-04-2026 16:42,Mumbai,231,COUNTERFEITING,17,M,Knife,Fire Accident,14,No,
101752,10-12-2026 17:12,09-12-2026 06:12,09-12-2026 06:12,Kanpur,564,SEXUAL ASSAULT,11,M,Poison,Violent Crime,6,No,
101753,26-12-2026 11:26,24-12-2026 11:26,24-12-2026 11:26,Pune,454,VANDALISM,48,M,Explosives,Other Crime,26,No,
101754,31-03-2026 17:47,30-03-2026 14:47,30-03-2026 14:47,Nagpur,258,EXTORTION,23,F,Other,Other Crime,18,Yes,16-05-2026 17:47
101755,01-08-2026 08:22,01-08-2026 08:22,01-08-2026 08:22,Delhi,371,PUBLIC INTOXICATION,74,F,Knife,Other Crime,20,No,
101756,30-09-2026 07:02,29-09-2026 04:02,29-09-2026 04:02,Mumbai,454,HOMICIDE,54,F,Other,Traffic Fatality,12,Yes,13-12-2026 07:02
101757,16-06-2026 05:44,13-06-2026 17:44,13-06-2026 17:44,Lucknow,547,FRAUD,38,M,Other,Violent Crime,18,Yes,15-08-2026 05:44
101758,23-11-2026 10:31,21-11-2026 19:31,21-11-2026 19:31,Thane,224,ARSON,20,M,Explosives,Violent Crime,16,No,
101759,11-01-2026 18:18,10-01-2026 13:18,10-01-2026 13:18,Ahmedabad,413,HOMICIDE,11,M,Blunt Object,Fire Accident,17,Yes,05-03-2026 18:18
101760,24-06-2026 15:58,22-06-2026 07:58,22-06-2026 07:58,Patna,379,ILLEGAL POSSESSION,73,F,Explosives,Traffic Fatality,21,No,
101761,15-02-2026 11:25,14-02-2026 17:25,14-02-2026 17:25,Ludhiana,146,PUBLIC INTOXICATION,13,F,Knife,Other Crime,18,No,
101762,25-09-2026 22:14,25-09-2026 03:14,25-09-2026 03:14,Agra,401,ASSAULT,55,M,Knife,Fire Accident,21,Yes,19-10-2026 22:14
101763,27-09-2026 20:57,25-09-2026 05:57,25-09-2026 05:57,Patna,222,SHOPLIFTING,42,M,None,Traffic Fatality,21,No,
101764,21-09-2026 17:44,19-09-2026 19:44,19-09-2026 19:44,Bhopal,556,DRUG OFFENSE,62,F,Blunt Object,Fire Accident,25,Yes,12-10-2026 17:44
101765,31-05-2026 15:34,30-05-2026 23:34,30-05-2026 23:34,Delhi,584,EXTORTION,43,F,Explosives,Other Crime,24,Yes,08-08-2026 15:34
101766,21-01-2026 04:19,19-01-2026 03:19,19-01-2026 03:19,Rajkot,570,ARSON,18,F,Blunt Object,Other Crime,25,Yes,18-04-2026 04:19
101767,05-12-2026 21:08,05-12-2026 01:08,05-12-2026 01:08,Kanpur,351,SHOPLIFTING,50,M,Other,Violent Crime,18,No,
101768,07-03-2026 21:11,07-03-2026 06:11,07-03-2026 06:11,Jaipur,211,DOMESTIC VIOLENCE,32,F,None,Traffic Fatality,11,Yes,21-04-2026 21:11
101769,19-04-2026 22:17,17-04-2026 07:17,17-04-2026 07:17,Chennai,419,IDENTITY THEFT,24,M,None,Fire Accident,25,No,
101770,03-03-2026 20:05,02-03-2026 02:05,02-03-2026 02:05,Ghaziabad,527,IDENTITY THEFT,12,F,Explosives,Violent Crime,3,Yes,02-05-2026 20:05
101771,16-12-2026 04:04,14-12-2026 10:04,14-12-2026 10:04,Kolkata,512,TRAFFIC VIOLATION,73,M,Firearm,Fire Accident,16,Yes,01-01-2027 04:04
101772,02-07-2026 01:24,30-06-2026 06:24,30-06-2026 06:24,Rajkot,501,VANDALISM,63,M,Firearm,Fire Accident,5,No,
101773,30-05-2026 17:04,28-05-2026 09:04,28-05-2026 09:04,Agra,389,VEHICLE - STOLEN,29,M,Knife,Fire Accident,9,No,
101774,08-05-2026 09:10,06-05-2026 09:10,06-05-2026 09:10,Ahmedabad,131,IDENTITY THEFT,54,F,Blunt Object,Other Crime,28,No,
101775,27-01-2026 22:10,25-01-2026 16:10,25-01-2026 16:10,Nagpur,479,ROBBERY,64,F,Explosives,Traffic Fatality,19,Yes,01-02-2026 22:10
101776,28-05-2026 17:40,27-05-2026 04:40,27-05-2026 04:40,Kalyan,260,FIREARM OFFENSE,58,M,Poison,Traffic Fatality,18,Yes,11-06-2026 17:40
101777,03-03-2026 00:42,03-03-2026 00:42,03-03-2026 00:42,Meerut,358,ARSON,11,F,Poison,Traffic Fatality,15,No,
101778,15-07-2026 12:14,13-07-2026 19:14,13-07-2026 19:14,Jaipur,504,VANDALISM,42,F,Explosives,Other Crime,18,No,
101779,09-07-2026 22:05,07-07-2026 11:05,07-07-2026 11:05,Mumbai,178,IDENTITY THEFT,25,F,Blunt Object,Traffic Fatality,30,No,
101780,02-01-2026 22:49,01-01-2026 21:49,01-01-2026 21:49,Faridabad,348,HOMICIDE,48,F,Poison,Violent Crime,16,Yes,16-03-2026 22:49
101781,14-08-2026 00:05,13-08-2026 10:05,13-08-2026 10:05,Kanpur,389,FRAUD,28,M,Blunt Object,Violent Crime,25,Yes,22-09-2026 00:05
101782,02-02-2026 10:55,02-02-2026 08:55,02-02-2026 08:55,Indore,590,CYBERCRIME,18,F,Knife,Violent Crime,25,Yes,07-04-2026 10:55
101783,17-05-2026 01:35,14-05-2026 18:35,14-05-2026 18:35,Hyderabad,237,SEXUAL ASSAULT,37,M,Poison,Other Crime,13,Yes,20-06-2026 01:35
101784,18-05-2026 02:12,15-05-2026 20:12,15-05-2026 20:12,Ghaziabad,322,EXTORTION,66,F,Explosives,Violent Crime,5,Yes,05-07-2026 02:12
101785,08-01-2026 06:56,08-01-2026 00:56,08-01-2026 00:56,Ludhiana,582,KIDNAPPING,64,M,Firearm,Violent Crime,8,No,
101786,12-01-2026 17:53,10-01-2026 02:53,10-01-2026 02:53,Varanasi,157,SEXUAL ASSAULT,17,M,Firearm,Other Crime,21,No,
101787,18-10-2026 16:21,17-10-2026 00:21,17-10-2026 00:21,Faridabad,255,VEHICLE - STOLEN,40,F,Firearm,Violent Crime,8,Yes,16-12-2026 16:21
101788,18-10-2026 18:44,15-10-2026 20:44,15-10-2026 20:44,Nagpur,595,DRUG OFFENSE,69,M,Explosives,Traffic Fatality,13,Yes,22-12-2026 18:44
101789,02-09-2026 11:03,01-09-2026 20:03,01-09-2026 20:03,Ghaziabad,472,SEXUAL ASSAULT,60,M,Knife,Violent Crime,18,Yes,27-11-2026 11:03
101790,28-11-2026 15:23,28-11-2026 08:23,28-11-2026 08:23,Ludhiana,220,EXTORTION,79,F,Poison,Fire Accident,14,No,
101791,10-05-2026 10:40,08-05-2026 20:40,08-05-2026 20:40,Ahmedabad,422,SHOPLIFTING,13,M,Firearm,Fire Accident,15,Yes,09-06-2026 10:40
101792,09-01-2026 05:24,06-01-2026 06:24,06-01-2026 06:24,Chennai,576,DOMESTIC VIOLENCE,77,M,Explosives,Traffic Fatality,28,No,
101793,22-08-2026 16:09,21-08-2026 20:09,21-08-2026 20:09,Ludhiana,543,VEHICLE - STOLEN,37,F,None,Fire Accident,27,Yes,05-09-2026 16:09
101794,07-01-2026 04:01,05-01-2026 11:01,05-01-2026 11:01,Visakhapatnam,362,VANDALISM,35,F,Other,Other Crime,30,No,
101795,26-02-2026 14:53,25-02-2026 18:53,25-02-2026 18:53,Ludhiana,335,SHOPLIFTING,13,F,None,Violent Crime,27,No,
101796,27-10-2026 08:52,24-10-2026 11:52,24-10-2026 11:52,Patna,374,KIDNAPPING,37,M,Firearm,Other Crime,15,Yes,14-11-2026 08:52
101797,16-11-2026 03:40,14-11-2026 12:40,14-11-2026 12:40,Bhopal,386,ROBBERY,60,F,Blunt Object,Traffic Fatality,21,No,
101798,15-04-2026 12:42,14-04-2026 04:42,14-04-2026 04:42,Visakhapatnam,269,DOMESTIC VIOLENCE,36,M,Poison,Fire Accident,27,No,
101799,20-01-2026 13:52,19-01-2026 16:52,19-01-2026 16:52,Ludhiana,113,SEXUAL ASSAULT,69,F,Other,Violent Crime,8,Yes,14-03-2026 13:52
101800,14-04-2026 02:07,13-04-2026 17:07,13-04-2026 17:07,Hyderabad,360,DOMESTIC VIOLENCE,29,M,Explosives,Violent Crime,26,Yes,24-05-2026 02:07
101801,11-04-2026 14:00,10-04-2026 21:00,10-04-2026 21:00,Jaipur,480,TRAFFIC VIOLATION,52,F,None,Traffic Fatality,14,No,
101802,18-02-2026 18:10,16-02-2026 06:10,16-02-2026 06:10,Kalyan,292,BURGLARY,71,F,Other,Traffic Fatality,12,No,
101803,26-01-2026 14:46,23-01-2026 20:46,23-01-2026 20:46,Kanpur,278,KIDNAPPING,47,M,Blunt Object,Traffic Fatality,7,No,
101804,16-11-2026 23:35,16-11-2026 14:35,16-11-2026 14:35,Mumbai,337,PUBLIC INTOXICATION,61,F,Poison,Other Crime,25,Yes,25-11-2026 23:35
101805,05-03-2026 08:26,03-03-2026 11:26,03-03-2026 11:26,Kanpur,558,ROBBERY,63,M,None,Other Crime,13,No,
101806,13-12-2026 12:50,10-12-2026 13:50,10-12-2026 13:50,Agra,554,ROBBERY,31,M,None,Other Crime,25,Yes,07-03-2027 12:50
101807,23-04-2026 02:18,20-04-2026 12:18,20-04-2026 12:18,Nagpur,285,FRAUD,61,M,Knife,Traffic Fatality,10,No,
101808,22-10-2026 23:33,21-10-2026 17:33,21-10-2026 17:33,Srinagar,182,ASSAULT,50,F,None,Traffic Fatality,18,No,
101809,24-08-2026 09:17,22-08-2026 10:17,22-08-2026 10:17,Thane,589,FRAUD,66,M,None,Traffic Fatality,28,No,
101810,11-12-2026 23:39,11-12-2026 08:39,11-12-2026 08:39,Chennai,367,EXTORTION,35,M,Firearm,Traffic Fatality,28,No,
101811,26-05-2026 22:12,26-05-2026 07:12,26-05-2026 07:12,Mumbai,386,KIDNAPPING,62,F,Explosives,Violent Crime,10,No,
101812,09-01-2026 08:19,07-01-2026 04:19,07-01-2026 04:19,Delhi,496,TRAFFIC VIOLATION,38,M,Blunt Object,Other Crime,6,Yes,07-04-2026 08:19
101813,11-02-2026 19:11,10-02-2026 01:11,10-02-2026 01:11,Bangalore,194,FRAUD,72,M,Knife,Fire Accident,20,Yes,24-02-2026 19:11
101814,23-09-2026 06:36,22-09-2026 13:36,22-09-2026 13:36,Srinagar,478,PUBLIC INTOXICATION,28,F,Firearm,Fire Accident,21,No,
101815,02-06-2026 15:57,31-05-2026 15:57,31-05-2026 15:57,Bhopal,368,HOMICIDE,16,M,None,Other Crime,24,No,
101816,04-04-2026 12:55,03-04-2026 13:55,03-04-2026 13:55,Ludhiana,358,TRAFFIC VIOLATION,74,M,None,Fire Accident,18,No,
101817,06-06-2026 14:53,04-06-2026 22:53,04-06-2026 22:53,Visakhapatnam,517,TRAFFIC VIOLATION,11,F,Other,Violent Crime,6,Yes,01-08-2026 14:53
101818,07-09-2026 07:55,05-09-2026 09:55,05-09-2026 09:55,Kalyan,597,COUNTERFEITING,10,F,Knife,Violent Crime,9,No,
101819,19-08-2026 22:55,19-08-2026 09:55,19-08-2026 09:55,Mumbai,128,ASSAULT,22,F,Other,Other Crime,4,No,
101820,06-04-2026 21:11,06-04-2026 18:11,06-04-2026 18:11,Pune,298,ILLEGAL POSSESSION,58,M,Knife,Violent Crime,13,Yes,23-06-2026 21:11
101821,15-03-2026 14:39,14-03-2026 14:39,14-03-2026 14:39,Thane,108,BURGLARY,25,M,Blunt Object,Violent Crime,12,No,
101822,24-11-2026 04:56,22-11-2026 12:56,22-11-2026 12:56,Surat,214,ARSON,45,F,Other,Violent Crime,11,No,
101823,09-06-2026 16:19,08-06-2026 07:19,08-06-2026 07:19,Agra,494,BURGLARY,49,M,Firearm,Violent Crime,8,No,
101824,08-09-2026 11:51,08-09-2026 04:51,08-09-2026 04:51,Vasai,562,HOMICIDE,52,F,Blunt Object,Other Crime,30,Yes,18-10-2026 11:51
101825,28-10-2026 23:29,26-10-2026 08:29,26-10-2026 08:29,Srinagar,267,VEHICLE - STOLEN,19,M,Blunt Object,Traffic Fatality,23,No,
101826,12-12-2026 00:21,12-12-2026 00:21,12-12-2026 00:21,Visakhapatnam,171,KIDNAPPING,68,F,Other,Other Crime,29,No,
101827,03-05-2026 17:22,03-05-2026 01:22,03-05-2026 01:22,Srinagar,503,DOMESTIC VIOLENCE,11,F,Poison,Violent Crime,14,No,
101828,09-08-2026 07:09,06-08-2026 09:09,06-08-2026 09:09,Mumbai,380,VEHICLE - STOLEN,68,F,None,Fire Accident,26,Yes,19-10-2026 07:09
101829,05-09-2026 08:31,02-09-2026 16:31,02-09-2026 16:31,Delhi,457,VEHICLE - STOLEN,63,F,Other,Violent Crime,28,No,
101830,13-11-2026 23:58,13-11-2026 16:58,13-11-2026 16:58,Jaipur,290,DRUG OFFENSE,59,F,Other,Fire Accident,29,No,
101831,25-04-2026 00:58,22-04-2026 07:58,22-04-2026 07:58,Nagpur,136,FIREARM OFFENSE,16,F,None,Fire Accident,13,Yes,27-06-2026 00:58
101832,02-12-2026 21:57,02-12-2026 14:57,02-12-2026 14:57,Meerut,402,KIDNAPPING,44,M,Explosives,Other Crime,6,No,
101833,23-08-2026 22:48,21-08-2026 07:48,21-08-2026 07:48,Bhopal,146,DOMESTIC VIOLENCE,62,M,Explosives,Violent Crime,21,Yes,09-10-2026 22:48
101834,26-12-2026 02:38,24-12-2026 12:38,24-12-2026 12:38,Bangalore,143,VANDALISM,80,F,Explosives,Fire Accident,18,No,
101835,05-12-2026 02:15,03-12-2026 11:15,03-12-2026 11:15,Ahmedabad,271,ASSAULT,22,F,None,Traffic Fatality,16,No,
101836,07-07-2026 08:29,07-07-2026 08:29,07-07-2026 08:29,Ludhiana,380,SEXUAL ASSAULT,16,F,Knife,Violent Crime,16,No,
101837,04-07-2026 10:38,02-07-2026 23:38,02-07-2026 23:38,Ghaziabad,296,IDENTITY THEFT,74,F,Poison,Other Crime,4,No,
101838,12-01-2026 11:29,10-01-2026 04:29,10-01-2026 04:29,Delhi,100,SEXUAL ASSAULT,78,F,Firearm,Fire Accident,13,No,
101839,19-02-2026 11:18,19-02-2026 00:18,19-02-2026 00:18,Patna,121,KIDNAPPING,28,F,Knife,Traffic Fatality,9,No,
101840,14-02-2026 04:22,12-02-2026 17:22,12-02-2026 17:22,Nashik,122,IDENTITY THEFT,53,F,Firearm,Traffic Fatality,30,No,
101841,31-01-2026 18:13,31-01-2026 00:13,31-01-2026 00:13,Mumbai,257,TRAFFIC VIOLATION,46,F,Knife,Fire Accident,14,Yes,04-04-2026 18:13
101842,08-11-2026 13:58,06-11-2026 01:58,06-11-2026 01:58,Bangalore,480,BURGLARY,61,F,None,Traffic Fatality,29,Yes,10-11-2026 13:58
101843,01-06-2026 13:17,30-05-2026 16:17,30-05-2026 16:17,Meerut,510,CYBERCRIME,46,M,Other,Traffic Fatality,21,Yes,17-06-2026 13:17
101844,10-08-2026 01:33,09-08-2026 09:33,09-08-2026 09:33,Rajkot,437,BURGLARY,26,F,Poison,Traffic Fatality,29,No,
101845,15-08-2026 16:28,12-08-2026 18:28,12-08-2026 18:28,Indore,476,ROBBERY,61,M,Knife,Fire Accident,13,Yes,25-09-2026 16:28
101846,10-02-2026 15:45,08-02-2026 14:45,08-02-2026 14:45,Bangalore,283,DOMESTIC VIOLENCE,62,M,None,Traffic Fatality,3,No,
101847,30-10-2026 16:57,30-10-2026 11:57,30-10-2026 11:57,Lucknow,317,ILLEGAL POSSESSION,74,M,Blunt Object,Traffic Fatality,14,Yes,20-01-2027 16:57
101848,28-10-2026 05:55,26-10-2026 06:55,26-10-2026 06:55,Bangalore,257,HOMICIDE,44,M,Knife,Other Crime,30,No,
101849,28-05-2026 16:26,25-05-2026 22:26,25-05-2026 22:26,Agra,561,BURGLARY,39,M,Other,Traffic Fatality,25,Yes,18-08-2026 16:26
101850,12-02-2026 02:38,09-02-2026 09:38,09-02-2026 09:38,Thane,548,VEHICLE - STOLEN,15,F,Blunt Object,Fire Accident,13,Yes,23-03-2026 02:38
101851,21-09-2026 15:12,19-09-2026 00:12,19-09-2026 00:12,Patna,169,DRUG OFFENSE,61,M,Explosives,Other Crime,3,No,
101852,25-12-2026 17:27,23-12-2026 08:27,23-12-2026 08:27,Nashik,188,PUBLIC INTOXICATION,55,F,Other,Violent Crime,11,No,
101853,06-08-2026 14:00,06-08-2026 13:00,06-08-2026 13:00,Patna,403,IDENTITY THEFT,53,M,Poison,Traffic Fatality,9,No,
101854,13-03-2026 06:27,12-03-2026 14:27,12-03-2026 14:27,Delhi,200,VANDALISM,69,M,None,Traffic Fatality,9,No,
101855,24-01-2026 18:44,22-01-2026 19:44,22-01-2026 19:44,Chennai,375,ILLEGAL POSSESSION,54,M,Poison,Other Crime,2,No,
101856,21-01-2026 11:37,21-01-2026 00:37,21-01-2026 00:37,Chennai,534,CYBERCRIME,41,F,Knife,Traffic Fatality,5,No,
101857,28-02-2026 07:14,28-02-2026 02:14,28-02-2026 02:14,Thane,181,TRAFFIC VIOLATION,18,F,Firearm,Traffic Fatality,10,Yes,24-05-2026 07:14
101858,14-01-2026 22:34,13-01-2026 04:34,13-01-2026 04:34,Chennai,482,FIREARM OFFENSE,27,M,Knife,Violent Crime,20,No,
101859,27-07-2026 04:49,27-07-2026 03:49,27-07-2026 03:49,Nashik,193,SHOPLIFTING,79,F,Explosives,Other Crime,17,Yes,07-10-2026 04:49
101860,02-03-2026 18:12,01-03-2026 09:12,01-03-2026 09:12,Surat,423,TRAFFIC VIOLATION,49,M,None,Fire Accident,22,Yes,27-04-2026 18:12
101861,09-06-2026 10:34,06-06-2026 19:34,06-06-2026 19:34,Bangalore,320,HOMICIDE,39,F,Blunt Object,Other Crime,10,No,
101862,01-05-2026 01:10,29-04-2026 00:10,29-04-2026 00:10,Faridabad,536,ASSAULT,71,F,None,Violent Crime,2,No,
101863,03-02-2026 01:17,31-01-2026 16:17,31-01-2026 16:17,Surat,317,SEXUAL ASSAULT,20,F,None,Violent Crime,11,No,
101864,24-08-2026 21:08,23-08-2026 14:08,23-08-2026 14:08,Delhi,172,EXTORTION,68,F,Poison,Other Crime,9,No,
101865,22-05-2026 03:49,21-05-2026 09:49,21-05-2026 09:49,Thane,196,SEXUAL ASSAULT,19,M,Firearm,Traffic Fatality,4,Yes,24-06-2026 03:49
101866,31-08-2026 04:46,30-08-2026 10:46,30-08-2026 10:46,Vasai,127,ASSAULT,23,M,Knife,Fire Accident,26,No,
101867,11-06-2026 07:06,08-06-2026 17:06,08-06-2026 17:06,Rajkot,344,FRAUD,17,M,Knife,Other Crime,29,No,
101868,30-09-2026 10:06,27-09-2026 12:06,27-09-2026 12:06,Chennai,290,BURGLARY,75,M,Blunt Object,Other Crime,5,Yes,17-12-2026 10:06
101869,22-05-2026 14:48,19-05-2026 19:48,19-05-2026 19:48,Jaipur,222,BURGLARY,43,F,Poison,Traffic Fatality,14,Yes,16-08-2026 14:48
101870,28-07-2026 15:48,28-07-2026 09:48,28-07-2026 09:48,Srinagar,415,EXTORTION,14,M,None,Other Crime,23,Yes,21-10-2026 15:48
101871,28-01-2026 07:42,25-01-2026 18:42,25-01-2026 18:42,Lucknow,277,TRAFFIC VIOLATION,63,F,Firearm,Fire Accident,16,Yes,02-02-2026 07:42
101872,31-12-2026 01:51,29-12-2026 23:51,29-12-2026 23:51,Srinagar,249,FRAUD,62,F,Explosives,Violent Crime,11,No,
101873,19-10-2026 11:52,17-10-2026 21:52,17-10-2026 21:52,Kolkata,216,ILLEGAL POSSESSION,76,F,Blunt Object,Fire Accident,18,Yes,13-01-2027 11:52
101874,02-07-2026 19:05,01-07-2026 13:05,01-07-2026 13:05,Agra,568,ASSAULT,40,M,Other,Other Crime,8,No,
101875,15-03-2026 13:55,13-03-2026 12:55,13-03-2026 12:55,Nashik,512,CYBERCRIME,74,M,Firearm,Traffic Fatality,24,Yes,23-05-2026 13:55
101876,18-10-2026 02:28,15-10-2026 11:28,15-10-2026 11:28,Nashik,186,EXTORTION,66,M,Explosives,Traffic Fatality,28,No,
101877,03-01-2026 18:00,03-01-2026 03:00,03-01-2026 03:00,Kalyan,139,SHOPLIFTING,16,F,Other,Traffic Fatality,2,Yes,07-03-2026 18:00
101878,08-06-2026 17:31,07-06-2026 07:31,07-06-2026 07:31,Thane,434,BURGLARY,17,M,Blunt Object,Fire Accident,23,Yes,29-08-2026 17:31
101879,12-05-2026 09:42,10-05-2026 00:42,10-05-2026 00:42,Pune,239,BURGLARY,33,F,None,Traffic Fatality,16,Yes,01-08-2026 09:42
101880,30-08-2026 04:37,28-08-2026 18:37,28-08-2026 18:37,Surat,107,PUBLIC INTOXICATION,78,M,Blunt Object,Fire Accident,3,No,
101881,30-01-2026 22:37,28-01-2026 12:37,28-01-2026 12:37,Kolkata,129,VEHICLE - STOLEN,66,M,None,Traffic Fatality,29,No,
101882,20-08-2026 20:51,19-08-2026 17:51,19-08-2026 17:51,Nagpur,315,VEHICLE - STOLEN,18,M,Explosives,Other Crime,28,Yes,28-10-2026 20:51
101883,17-12-2026 01:50,16-12-2026 07:50,16-12-2026 07:50,Pune,199,EXTORTION,66,F,Blunt Object,Violent Crime,9,Yes,03-02-2027 01:50
101884,11-03-2026 03:28,09-03-2026 22:28,09-03-2026 22:28,Varanasi,175,BURGLARY,10,M,Explosives,Fire Accident,16,Yes,25-05-2026 03:28
101885,08-01-2026 12:07,07-01-2026 04:07,07-01-2026 04:07,Kolkata,357,FRAUD,19,F,Blunt Object,Fire Accident,11,Yes,20-01-2026 12:07
101886,19-12-2026 15:42,19-12-2026 00:42,19-12-2026 00:42,Bhopal,418,DOMESTIC VIOLENCE,17,F,None,Violent Crime,28,Yes,20-01-2027 15:42
101887,09-05-2026 02:09,07-05-2026 21:09,07-05-2026 21:09,Kanpur,474,COUNTERFEITING,19,F,Blunt Object,Violent Crime,7,Yes,14-07-2026 02:09
101888,10-10-2026 18:18,10-10-2026 10:18,10-10-2026 10:18,Nashik,177,ROBBERY,75,M,Other,Fire Accident,15,Yes,14-10-2026 18:18
101889,17-07-2026 04:55,16-07-2026 05:55,16-07-2026 05:55,Chennai,387,VANDALISM,53,F,Firearm,Fire Accident,29,Yes,24-07-2026 04:55
101890,26-04-2026 21:56,26-04-2026 10:56,26-04-2026 10:56,Agra,402,ASSAULT,21,M,Explosives,Fire Accident,19,No,
101891,26-05-2026 19:30,26-05-2026 18:30,26-05-2026 18:30,Kolkata,178,DOMESTIC VIOLENCE,18,M,Poison,Traffic Fatality,30,No,
101892,27-09-2026 22:44,26-09-2026 15:44,26-09-2026 15:44,Kolkata,440,EXTORTION,37,M,Knife,Fire Accident,10,Yes,17-12-2026 22:44
101893,12-06-2026 10:52,12-06-2026 00:52,12-06-2026 00:52,Bangalore,140,ROBBERY,16,M,Blunt Object,Traffic Fatality,18,No,
101894,16-02-2026 07:01,14-02-2026 01:01,14-02-2026 01:01,Chennai,297,KIDNAPPING,44,M,Blunt Object,Violent Crime,30,Yes,28-02-2026 07:01
101895,03-10-2026 08:59,02-10-2026 12:59,02-10-2026 12:59,Meerut,464,ASSAULT,68,M,Poison,Violent Crime,18,Yes,10-11-2026 08:59
101896,13-10-2026 05:02,11-10-2026 08:02,11-10-2026 08:02,Kanpur,105,PUBLIC INTOXICATION,48,F,Knife,Fire Accident,26,Yes,30-11-2026 05:02
101897,21-05-2026 17:24,20-05-2026 04:24,20-05-2026 04:24,Jaipur,466,ROBBERY,19,F,None,Other Crime,28,No,
101898,08-08-2026 18:52,07-08-2026 02:52,07-08-2026 02:52,Varanasi,122,CYBERCRIME,61,F,Explosives,Fire Accident,1,Yes,11-10-2026 18:52
101899,28-07-2026 08:30,26-07-2026 12:30,26-07-2026 12:30,Hyderabad,458,VANDALISM,27,F,None,Traffic Fatality,27,No,
101900,29-08-2026 05:19,27-08-2026 16:19,27-08-2026 16:19,Bhopal,231,EXTORTION,18,F,Knife,Other Crime,1,No,
101901,17-02-2026 05:18,14-02-2026 19:18,14-02-2026 19:18,Rajkot,122,DOMESTIC VIOLENCE,37,F,Other,Violent Crime,12,Yes,07-05-2026 05:18
101902,21-12-2026 07:41,19-12-2026 03:41,19-12-2026 03:41,Ludhiana,206,BURGLARY,22,F,Firearm,Other Crime,28,No,
101903,19-04-2026 10:05,18-04-2026 01:05,18-04-2026 01:05,Surat,411,TRAFFIC VIOLATION,53,F,Other,Other Crime,28,No,
101904,15-11-2026 13:30,12-11-2026 14:30,12-11-2026 14:30,Ahmedabad,582,FRAUD,32,F,Other,Other Crime,17,Yes,15-12-2026 13:30
101905,26-04-2026 19:07,26-04-2026 16:07,26-04-2026 16:07,Varanasi,353,DOMESTIC VIOLENCE,52,F,None,Other Crime,29,No,
101906,26-06-2026 17:39,25-06-2026 11:39,25-06-2026 11:39,Nashik,584,VANDALISM,42,M,Knife,Violent Crime,22,No,
101907,20-02-2026 20:14,20-02-2026 20:14,20-02-2026 20:14,Kanpur,338,DRUG OFFENSE,43,F,Knife,Other Crime,8,Yes,13-05-2026 20:14
101908,22-11-2026 09:00,19-11-2026 21:00,19-11-2026 21:00,Vasai,588,FRAUD,35,F,Explosives,Fire Accident,27,Yes,04-01-2027 09:00
101909,14-04-2026 10:57,14-04-2026 08:57,14-04-2026 08:57,Varanasi,167,VEHICLE - STOLEN,28,M,Knife,Traffic Fatality,5,Yes,29-04-2026 10:57
101910,07-03-2026 04:03,04-03-2026 07:03,04-03-2026 07:03,Jaipur,239,IDENTITY THEFT,20,M,None,Fire Accident,29,Yes,26-04-2026 04:03
101911,09-04-2026 13:53,07-04-2026 03:53,07-04-2026 03:53,Bhopal,514,CYBERCRIME,28,F,None,Violent Crime,22,Yes,12-04-2026 13:53
101912,06-03-2026 08:20,04-03-2026 17:20,04-03-2026 17:20,Nagpur,330,TRAFFIC VIOLATION,74,M,None,Fire Accident,1,Yes,02-05-2026 08:20
101913,27-07-2026 01:54,27-07-2026 01:54,27-07-2026 01:54,Nashik,538,COUNTERFEITING,41,F,Explosives,Violent Crime,19,No,
101914,20-02-2026 04:26,19-02-2026 15:26,19-02-2026 15:26,Kolkata,178,HOMICIDE,23,M,Poison,Violent Crime,21,Yes,06-03-2026 04:26
